SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
1	assembled-molecule	1	CM000994.3	=	NC_000067.7	C57BL/6J	195154279	chr1	FALSE
2	assembled-molecule	2	CM000995.3	=	NC_000068.8	C57BL/6J	181755017	chr2	FALSE
3	assembled-molecule	3	CM000996.3	=	NC_000069.7	C57BL/6J	159745316	chr3	FALSE
4	assembled-molecule	4	CM000997.3	=	NC_000070.7	C57BL/6J	156860686	chr4	FALSE
5	assembled-molecule	5	CM000998.3	=	NC_000071.7	C57BL/6J	151758149	chr5	FALSE
6	assembled-molecule	6	CM000999.3	=	NC_000072.7	C57BL/6J	149588044	chr6	FALSE
7	assembled-molecule	7	CM001000.3	=	NC_000073.7	C57BL/6J	144995196	chr7	FALSE
8	assembled-molecule	8	CM001001.3	=	NC_000074.7	C57BL/6J	130127694	chr8	FALSE
9	assembled-molecule	9	CM001002.3	=	NC_000075.7	C57BL/6J	124359700	chr9	FALSE
10	assembled-molecule	10	CM001003.3	=	NC_000076.7	C57BL/6J	130530862	chr10	FALSE
11	assembled-molecule	11	CM001004.3	=	NC_000077.7	C57BL/6J	121973369	chr11	FALSE
12	assembled-molecule	12	CM001005.3	=	NC_000078.7	C57BL/6J	120092757	chr12	FALSE
13	assembled-molecule	13	CM001006.3	=	NC_000079.7	C57BL/6J	120883175	chr13	FALSE
14	assembled-molecule	14	CM001007.3	=	NC_000080.7	C57BL/6J	125139656	chr14	FALSE
15	assembled-molecule	15	CM001008.3	=	NC_000081.7	C57BL/6J	104073951	chr15	FALSE
16	assembled-molecule	16	CM001009.3	=	NC_000082.7	C57BL/6J	98008968	chr16	FALSE
17	assembled-molecule	17	CM001010.3	=	NC_000083.7	C57BL/6J	95294699	chr17	FALSE
18	assembled-molecule	18	CM001011.3	=	NC_000084.7	C57BL/6J	90720763	chr18	FALSE
19	assembled-molecule	19	CM001012.3	=	NC_000085.7	C57BL/6J	61420004	chr19	FALSE
X	assembled-molecule	X	CM001013.3	=	NC_000086.8	C57BL/6J	169476592	chrX	FALSE
Y	assembled-molecule	Y	CM001014.3	=	NC_000087.8	C57BL/6J	91455967	chrY	FALSE
MT	assembled-molecule	MT	AY172335.1	=	NC_005089.1	non-nuclear	16299	chrM	TRUE
MMCHR1_RANDOM_CTG1	unlocalized-scaffold	1	GL456210.1	=	NT_166280.1	C57BL/6J	169725	chr1_GL456210v1_random	FALSE
MMCHR1_RANDOM_CTG2	unlocalized-scaffold	1	GL456211.1	=	NT_166281.1	C57BL/6J	241735	chr1_GL456211v1_random	FALSE
MMCHR1_RANDOM_CTG3	unlocalized-scaffold	1	GL456212.1	=	NT_166282.1	C57BL/6J	153618	chr1_GL456212v1_random	FALSE
MMCHR1_RANDOM_CTG5	unlocalized-scaffold	1	GL456221.1	=	NT_162750.1	C57BL/6J	206961	chr1_GL456221v1_random	FALSE
MMCHR1_RANDOM_CTG7	unlocalized-scaffold	1	GL456239.1	=	NT_166338.1	C57BL/6J	40056	chr1_GL456239v1_random	FALSE
MMCHR1_RANDOM_CTG6	unlocalized-scaffold	1	MU069434.1	=	NW_023337852.1	C57BL/6J	8412	chr1_MU069434v1_random	FALSE
MMCHR4UN_CTG6	unlocalized-scaffold	4	JH584295.1	=	NT_187055.1	C57BL/6J	1976	chr4_JH584295v1_random	FALSE
