SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
1	assembled-molecule	1	CM000663.1	=	NC_000001.10	Primary Assembly	249250621	chr1	FALSE
2	assembled-molecule	2	CM000664.1	=	NC_000002.11	Primary Assembly	243199373	chr2	FALSE
3	assembled-molecule	3	CM000665.1	=	NC_000003.11	Primary Assembly	198022430	chr3	FALSE
4	assembled-molecule	4	CM000666.1	=	NC_000004.11	Primary Assembly	191154276	chr4	FALSE
5	assembled-molecule	5	CM000667.1	=	NC_000005.9	Primary Assembly	180915260	chr5	FALSE
6	assembled-molecule	6	CM000668.1	=	NC_000006.11	Primary Assembly	171115067	chr6	FALSE
7	assembled-molecule	7	CM000669.1	=	NC_000007.13	Primary Assembly	159138663	chr7	FALSE
8	assembled-molecule	8	CM000670.1	=	NC_000008.10	Primary Assembly	146364022	chr8	FALSE
9	assembled-molecule	9	CM000671.1	=	NC_000009.11	Primary Assembly	141213431	chr9	FALSE
10	assembled-molecule	10	CM000672.1	=	NC_000010.10	Primary Assembly	135534747	chr10	FALSE
11	assembled-molecule	11	CM000673.1	=	NC_000011.9	Primary Assembly	135006516	chr11	FALSE
12	assembled-molecule	12	CM000674.1	=	NC_000012.11	Primary Assembly	133851895	chr12	FALSE
13	assembled-molecule	13	CM000675.1	=	NC_000013.10	Primary Assembly	115169878	chr13	FALSE
14	assembled-molecule	14	CM000676.1	=	NC_000014.8	Primary Assembly	107349540	chr14	FALSE
15	assembled-molecule	15	CM000677.1	=	NC_000015.9	Primary Assembly	102531392	chr15	FALSE
16	assembled-molecule	16	CM000678.1	=	NC_000016.9	Primary Assembly	90354753	chr16	FALSE
17	assembled-molecule	17	CM000679.1	=	NC_000017.10	Primary Assembly	81195210	chr17	FALSE
18	assembled-molecule	18	CM000680.1	=	NC_000018.9	Primary Assembly	78077248	chr18	FALSE
19	assembled-molecule	19	CM000681.1	=	NC_000019.9	Primary Assembly	59128983	chr19	FALSE
20	assembled-molecule	20	CM000682.1	=	NC_000020.10	Primary Assembly	63025520	chr20	FALSE
21	assembled-molecule	21	CM000683.1	=	NC_000021.8	Primary Assembly	48129895	chr21	FALSE
22	assembled-molecule	22	CM000684.1	=	NC_000022.10	Primary Assembly	51304566	chr22	FALSE
X	assembled-molecule	X	CM000685.1	=	NC_000023.10	Primary Assembly	155270560	chrX	FALSE
Y	assembled-molecule	Y	CM000686.1	=	NC_000024.9	Primary Assembly	59373566	chrY	FALSE
MT	assembled-molecule	MT	J01415.2	=	NC_012920.1	non-nuclear	16569	chrM	TRUE
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	GL000250.1	=	NT_167244.1	ALT_REF_LOCI_1	4622290	chr6_apd_hap1	FALSE
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	GL000251.1	=	NT_113891.2	ALT_REF_LOCI_2	4795371	chr6_cox_hap2	FALSE
HSCHR6_MHC_DBB_CTG1	alt-scaffold	6	GL000252.1	=	NT_167245.1	ALT_REF_LOCI_3	4610396	chr6_dbb_hap3	FALSE
HSCHR6_MHC_MANN_CTG1	alt-scaffold	6	GL000253.1	=	NT_167246.1	ALT_REF_LOCI_4	4683263	chr6_mann_hap4	FALSE
HSCHR6_MHC_MCF_CTG1	alt-scaffold	6	GL000254.1	=	NT_167247.1	ALT_REF_LOCI_5	4833398	chr6_mcf_hap5	FALSE
HSCHR6_MHC_QBL_CTG1	alt-scaffold	6	GL000255.1	=	NT_167248.1	ALT_REF_LOCI_6	4611984	chr6_qbl_hap6	FALSE
HSCHR6_MHC_SSTO_CTG1	alt-scaffold	6	GL000256.1	=	NT_167249.1	ALT_REF_LOCI_7	4928567	chr6_ssto_hap7	FALSE
HSCHR4_1_CTG9	alt-scaffold	4	GL000257.1	=	NT_167250.1	ALT_REF_LOCI_8	590426	chr4_ctg9_hap1	FALSE
HSCHR17_1_CTG5	alt-scaffold	17	GL000258.1	=	NT_167251.1	ALT_REF_LOCI_9	1680828	chr17_ctg5_hap1	FALSE
HSCHR1_RANDOM_CTG5	unlocalized-scaffold	1	GL000191.1	=	NT_113878.1	Primary Assembly	106433	chr1_gl000191_random	FALSE
HSCHR1_RANDOM_CTG12	unlocalized-scaffold	1	GL000192.1	=	NT_167207.1	Primary Assembly	547496	chr1_gl000192_random	FALSE
HSCHR4_RANDOM_CTG2	unlocalized-scaffold	4	GL000193.1	=	NT_113885.1	Primary Assembly	189789	chr4_gl000193_random	FALSE
HSCHR4_RANDOM_CTG3	unlocalized-scaffold	4	GL000194.1	=	NT_113888.1	Primary Assembly	191469	chr4_gl000194_random	FALSE
HSCHR7_RANDOM_CTG1	unlocalized-scaffold	7	GL000195.1	=	NT_113901.1	Primary Assembly	182896	chr7_gl000195_random	FALSE
HSCHR8_RANDOM_CTG1	unlocalized-scaffold	8	GL000196.1	=	NT_113909.1	Primary Assembly	38914	chr8_gl000196_random	FALSE
HSCHR8_RANDOM_CTG4	unlocalized-scaffold	8	GL000197.1	=	NT_113907.1	Primary Assembly	37175	chr8_gl000197_random	FALSE
HSCHR9_RANDOM_CTG1	unlocalized-scaffold	9	GL000198.1	=	NT_113914.1	Primary Assembly	90085	chr9_gl000198_random	FALSE
HSCHR9_RANDOM_CTG2	unlocalized-scaffold	9	GL000199.1	=	NT_113916.2	Primary Assembly	169874	chr9_gl000199_random	FALSE
HSCHR9_RANDOM_CTG4	unlocalized-scaffold	9	GL000200.1	=	NT_113915.1	Primary Assembly	187035	chr9_gl000200_random	FALSE
HSCHR9_RANDOM_CTG5	unlocalized-scaffold	9	GL000201.1	=	NT_113911.1	Primary Assembly	36148	chr9_gl000201_random	FALSE
HSCHR11_RANDOM_CTG2	unlocalized-scaffold	11	GL000202.1	=	NT_113921.2	Primary Assembly	40103	chr11_gl000202_random	FALSE
HSCHR17_RANDOM_CTG1	unlocalized-scaffold	17	GL000203.1	=	NT_113941.1	Primary Assembly	37498	chr17_gl000203_random	FALSE
HSCHR17_RANDOM_CTG2	unlocalized-scaffold	17	GL000204.1	=	NT_113943.1	Primary Assembly	81310	chr17_gl000204_random	FALSE
HSCHR17_RANDOM_CTG3	unlocalized-scaffold	17	GL000205.1	=	NT_113930.1	Primary Assembly	174588	chr17_gl000205_random	FALSE
HSCHR17_RANDOM_CTG4	unlocalized-scaffold	17	GL000206.1	=	NT_113945.1	Primary Assembly	41001	chr17_gl000206_random	FALSE
HSCHR18_RANDOM_CTG1	unlocalized-scaffold	18	GL000207.1	=	NT_113947.1	Primary Assembly	4262	chr18_gl000207_random	FALSE
HSCHR19_RANDOM_CTG1	unlocalized-scaffold	19	GL000208.1	=	NT_113948.1	Primary Assembly	92689	chr19_gl000208_random	FALSE
HSCHR19_RANDOM_CTG2	unlocalized-scaffold	19	GL000209.1	=	NT_113949.1	Primary Assembly	159169	chr19_gl000209_random	FALSE
HSCHR21_RANDOM_CTG9	unlocalized-scaffold	21	GL000210.1	=	NT_113950.2	Primary Assembly	27682	chr21_gl000210_random	FALSE
HSCHRUN_RANDOM_CTG1	unplaced-scaffold	NA	GL000211.1	=	NT_113961.1	Primary Assembly	166566	chrUn_gl000211	FALSE
HSCHRUN_RANDOM_CTG2	unplaced-scaffold	NA	GL000212.1	=	NT_113923.1	Primary Assembly	186858	chrUn_gl000212	FALSE
HSCHRUN_RANDOM_CTG3	unplaced-scaffold	NA	GL000213.1	=	NT_167208.1	Primary Assembly	164239	chrUn_gl000213	FALSE
HSCHRUN_RANDOM_CTG4	unplaced-scaffold	NA	GL000214.1	=	NT_167209.1	Primary Assembly	137718	chrUn_gl000214	FALSE
HSCHRUN_RANDOM_CTG5	unplaced-scaffold	NA	GL000215.1	=	NT_167210.1	Primary Assembly	172545	chrUn_gl000215	FALSE
HSCHRUN_RANDOM_CTG6	unplaced-scaffold	NA	GL000216.1	=	NT_167211.1	Primary Assembly	172294	chrUn_gl000216	FALSE
HSCHRUN_RANDOM_CTG7	unplaced-scaffold	NA	GL000217.1	=	NT_167212.1	Primary Assembly	172149	chrUn_gl000217	FALSE
HSCHRUN_RANDOM_CTG9	unplaced-scaffold	NA	GL000218.1	=	NT_113889.1	Primary Assembly	161147	chrUn_gl000218	FALSE
HSCHRUN_RANDOM_CTG10	unplaced-scaffold	NA	GL000219.1	=	NT_167213.1	Primary Assembly	179198	chrUn_gl000219	FALSE
HSCHRUN_RANDOM_CTG11	unplaced-scaffold	NA	GL000220.1	=	NT_167214.1	Primary Assembly	161802	chrUn_gl000220	FALSE
HSCHRUN_RANDOM_CTG13	unplaced-scaffold	NA	GL000221.1	=	NT_167215.1	Primary Assembly	155397	chrUn_gl000221	FALSE
HSCHRUN_RANDOM_CTG14	unplaced-scaffold	NA	GL000222.1	=	NT_167216.1	Primary Assembly	186861	chrUn_gl000222	FALSE
HSCHRUN_RANDOM_CTG15	unplaced-scaffold	NA	GL000223.1	=	NT_167217.1	Primary Assembly	180455	chrUn_gl000223	FALSE
HSCHRUN_RANDOM_CTG16	unplaced-scaffold	NA	GL000224.1	=	NT_167218.1	Primary Assembly	179693	chrUn_gl000224	FALSE
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	NA	GL000225.1	=	NT_167219.1	Primary Assembly	211173	chrUn_gl000225	FALSE
HSCHRUN_RANDOM_CTG19	unplaced-scaffold	NA	GL000226.1	=	NT_167220.1	Primary Assembly	15008	chrUn_gl000226	FALSE
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	NA	GL000227.1	=	NT_167221.1	Primary Assembly	128374	chrUn_gl000227	FALSE
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	NA	GL000228.1	=	NT_167222.1	Primary Assembly	129120	chrUn_gl000228	FALSE
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	NA	GL000229.1	=	NT_167223.1	Primary Assembly	19913	chrUn_gl000229	FALSE
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	NA	GL000230.1	=	NT_167224.1	Primary Assembly	43691	chrUn_gl000230	FALSE
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	NA	GL000231.1	=	NT_167225.1	Primary Assembly	27386	chrUn_gl000231	FALSE
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	NA	GL000232.1	=	NT_167226.1	Primary Assembly	40652	chrUn_gl000232	FALSE
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	NA	GL000233.1	=	NT_167227.1	Primary Assembly	45941	chrUn_gl000233	FALSE
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	NA	GL000234.1	=	NT_167228.1	Primary Assembly	40531	chrUn_gl000234	FALSE
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	NA	GL000235.1	=	NT_167229.1	Primary Assembly	34474	chrUn_gl000235	FALSE
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	NA	GL000236.1	=	NT_167230.1	Primary Assembly	41934	chrUn_gl000236	FALSE
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	NA	GL000237.1	=	NT_167231.1	Primary Assembly	45867	chrUn_gl000237	FALSE
HSCHRUN_RANDOM_CTG31	unplaced-scaffold	NA	GL000238.1	=	NT_167232.1	Primary Assembly	39939	chrUn_gl000238	FALSE
HSCHRUN_RANDOM_CTG32	unplaced-scaffold	NA	GL000239.1	=	NT_167233.1	Primary Assembly	33824	chrUn_gl000239	FALSE
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	NA	GL000240.1	=	NT_167234.1	Primary Assembly	41933	chrUn_gl000240	FALSE
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	NA	GL000241.1	=	NT_167235.1	Primary Assembly	42152	chrUn_gl000241	FALSE
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	NA	GL000242.1	=	NT_167236.1	Primary Assembly	43523	chrUn_gl000242	FALSE
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	NA	GL000243.1	=	NT_167237.1	Primary Assembly	43341	chrUn_gl000243	FALSE
HSCHRUN_RANDOM_CTG37	unplaced-scaffold	NA	GL000244.1	=	NT_167238.1	Primary Assembly	39929	chrUn_gl000244	FALSE
HSCHRUN_RANDOM_CTG38	unplaced-scaffold	NA	GL000245.1	=	NT_167239.1	Primary Assembly	36651	chrUn_gl000245	FALSE
HSCHRUN_RANDOM_CTG39	unplaced-scaffold	NA	GL000246.1	=	NT_167240.1	Primary Assembly	38154	chrUn_gl000246	FALSE
HSCHRUN_RANDOM_CTG40	unplaced-scaffold	NA	GL000247.1	=	NT_167241.1	Primary Assembly	36422	chrUn_gl000247	FALSE
HSCHRUN_RANDOM_CTG41	unplaced-scaffold	NA	GL000248.1	=	NT_167242.1	Primary Assembly	39786	chrUn_gl000248	FALSE
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	NA	GL000249.1	=	NT_167243.1	Primary Assembly	38502	chrUn_gl000249	FALSE
HG999_1_PATCH	fix-patch	1	GL383516.1	=	NW_003315903.1	PATCHES	49316	NA	FALSE
HG999_2_PATCH	fix-patch	1	GL383517.1	=	NW_003315904.1	PATCHES	49352	NA	FALSE
HG989_PATCH	fix-patch	1	GL949741.1	=	NW_003571030.1	PATCHES	151551	NA	FALSE
HG1287_PATCH	fix-patch	1	JH636052.4	=	NW_003871055.3	PATCHES	7283150	NA	FALSE
HG1292_PATCH	fix-patch	1	JH636053.3	=	NW_003871056.3	PATCHES	1676126	NA	FALSE
HG1293_PATCH	fix-patch	1	JH636054.1	=	NW_003871057.1	PATCHES	758378	NA	FALSE
HG1471_PATCH	fix-patch	1	JH806573.1	=	NW_004070863.1	PATCHES	24680	NA	FALSE
HG1472_PATCH	fix-patch	1	JH806574.2	=	NW_004070864.2	PATCHES	22982	NA	FALSE
HG1473_PATCH	fix-patch	1	JH806575.1	=	NW_004070865.1	PATCHES	47409	NA	FALSE
HG1007_PATCH	fix-patch	2	GL877870.2	=	NW_003571031.1	PATCHES	66021	NA	FALSE
HG686_PATCH	fix-patch	2	GL877871.1	=	NW_003571032.1	PATCHES	389939	NA	FALSE
HG953_PATCH	fix-patch	2	KB663603.1	=	NW_004504299.1	PATCHES	599580	NA	FALSE
HG186_PATCH	fix-patch	3	GL383523.1	=	NW_003315910.1	PATCHES	171362	NA	FALSE
HG280_PATCH	fix-patch	3	GL383524.1	=	NW_003315911.1	PATCHES	78793	NA	FALSE
HG991_PATCH	fix-patch	3	GL383525.1	=	NW_003315912.1	PATCHES	65063	NA	FALSE
HG1091_PATCH	fix-patch	3	JH159131.1	=	NW_003871058.1	PATCHES	393769	NA	FALSE
HG325_PATCH	fix-patch	3	JH159132.1	=	NW_003871059.1	PATCHES	100694	NA	FALSE
HG957_PATCH	fix-patch	3	KE332495.1	=	NW_004775426.1	PATCHES	263861	NA	FALSE
HG706_PATCH	fix-patch	4	GL582967.1	=	NW_003571035.1	PATCHES	248177	NA	FALSE
HG1032_PATCH	fix-patch	4	GL877872.1	=	NW_003571034.1	PATCHES	297485	NA	FALSE
HG174_HG254_PATCH	fix-patch	4	KE332496.1	=	NW_004775427.1	PATCHES	503215	NA	FALSE
HG1063_PATCH	fix-patch	5	JH159133.1	=	NW_003871061.1	PATCHES	266316	NA	FALSE
HG1082_HG167_PATCH	fix-patch	5	KE332497.1	=	NW_004775428.1	PATCHES	543325	NA	FALSE
HG1304_PATCH	fix-patch	6	JH636056.1	=	NW_003871062.1	PATCHES	262912	NA	FALSE
HG1322_PATCH	fix-patch	6	JH636057.1	=	NW_003871063.1	PATCHES	200195	NA	FALSE
HG27_PATCH	fix-patch	6	JH806576.1	=	NW_004070866.1	PATCHES	273386	NA	FALSE
HG357_PATCH	fix-patch	6	KB663604.1	=	NW_004504300.1	PATCHES	478993	NA	FALSE
HG193_PATCH	fix-patch	6	KE332498.1	=	NW_004775429.1	PATCHES	149443	NA	FALSE
HG115_PATCH	fix-patch	7	GL582968.1	=	NW_003571037.1	PATCHES	356330	NA	FALSE
HG14_PATCH	fix-patch	7	GL582969.1	=	NW_003571038.1	PATCHES	251823	NA	FALSE
HG736_PATCH	fix-patch	7	GL582970.1	=	NW_003571039.1	PATCHES	354970	NA	FALSE
HG7_PATCH	fix-patch	7	GL582971.1	=	NW_003571040.1	PATCHES	1284284	NA	FALSE
HG946_PATCH	fix-patch	7	GL582972.1	=	NW_003571041.1	PATCHES	327774	NA	FALSE
HG1257_PATCH	fix-patch	7	JH159134.2	=	NW_003871064.1	PATCHES	3821770	NA	FALSE
HG1308_PATCH	fix-patch	7	JH636058.1	=	NW_003871065.1	PATCHES	716227	NA	FALSE
