chrom	size	assembled	circular
chr1	249250621	TRUE	FALSE
chr2	243199373	TRUE	FALSE
chr3	198022430	TRUE	FALSE
chr4	191154276	TRUE	FALSE
chr5	180915260	TRUE	FALSE
chr6	171115067	TRUE	FALSE
chr7	159138663	TRUE	FALSE
chr8	146364022	TRUE	FALSE
chr9	141213431	TRUE	FALSE
chr10	135534747	TRUE	FALSE
chr11	135006516	TRUE	FALSE
chr12	133851895	TRUE	FALSE
chr13	115169878	TRUE	FALSE
chr14	107349540	TRUE	FALSE
chr15	102531392	TRUE	FALSE
chr16	90354753	TRUE	FALSE
chr17	81195210	TRUE	FALSE
chr18	78077248	TRUE	FALSE
chr19	59128983	TRUE	FALSE
chr20	63025520	TRUE	FALSE
chr21	48129895	TRUE	FALSE
chr22	51304566	TRUE	FALSE
chrX	155270560	TRUE	FALSE
chrY	59373566	TRUE	FALSE
chrM	16571	TRUE	TRUE
chrMT	16569	TRUE	TRUE
chr4_ctg9_hap1	590426	FALSE	FALSE
chr6_apd_hap1	4622290	FALSE	FALSE
chr6_cox_hap2	4795371	FALSE	FALSE
chr6_dbb_hap3	4610396	FALSE	FALSE
chr6_mann_hap4	4683263	FALSE	FALSE
chr6_mcf_hap5	4833398	FALSE	FALSE
chr6_qbl_hap6	4611984	FALSE	FALSE
chr6_ssto_hap7	4928567	FALSE	FALSE
chr17_ctg5_hap1	1680828	FALSE	FALSE
chr1_gl000191_random	106433	FALSE	FALSE
chr1_gl000192_random	547496	FALSE	FALSE
chr4_gl000193_random	189789	FALSE	FALSE
chr4_gl000194_random	191469	FALSE	FALSE
chr7_gl000195_random	182896	FALSE	FALSE
chr8_gl000196_random	38914	FALSE	FALSE
chr8_gl000197_random	37175	FALSE	FALSE
chr9_gl000198_random	90085	FALSE	FALSE
chr9_gl000199_random	169874	FALSE	FALSE
chr9_gl000200_random	187035	FALSE	FALSE
chr9_gl000201_random	36148	FALSE	FALSE
chr11_gl000202_random	40103	FALSE	FALSE
chr17_gl000203_random	37498	FALSE	FALSE
chr17_gl000204_random	81310	FALSE	FALSE
chr17_gl000205_random	174588	FALSE	FALSE
chr17_gl000206_random	41001	FALSE	FALSE
chr18_gl000207_random	4262	FALSE	FALSE
chr19_gl000208_random	92689	FALSE	FALSE
chr19_gl000209_random	159169	FALSE	FALSE
chr21_gl000210_random	27682	FALSE	FALSE
chrUn_gl000211	166566	FALSE	FALSE
chrUn_gl000212	186858	FALSE	FALSE
chrUn_gl000213	164239	FALSE	FALSE
chrUn_gl000214	137718	FALSE	FALSE
chrUn_gl000215	172545	FALSE	FALSE
chrUn_gl000216	172294	FALSE	FALSE
chrUn_gl000217	172149	FALSE	FALSE
chrUn_gl000218	161147	FALSE	FALSE
